"total,meaning,detail_meaning,domain,score_hint"
"1,เริ่มต้นใหม่ มีความเป็นผู้นำ,""เหมาะกับผู้บริหาร นักคิด นักพัฒนา กล้าคิดกล้าทำ"",leadership,8"
"2,อ่อนโยน นุ่มนวล,""เหมาะกับงานบริการ งานสังคม ความงาม การดูแล"",love,7"
"3,พลังแห่งความคิดสร้างสรรค์,""เด่นด้านศิลปะ การตลาด การพูด"",creativity,8"
"4,สื่อสารเก่ง เจรจาดี,""เหมาะกับงานขาย ประชาสัมพันธ์ สื่อสารทุกแขนง"",communication,8"
"5,นักวางแผน รอบคอบ,""เด่นด้านการบริหาร คิดเป็นระบบ มองการณ์ไกล"",planning,8"
"6,เสน่ห์ดี รักอบอุ่น,""เหมาะกับงานบริการ ศิลปะ และความสัมพันธ์"",love,9"
"7,อดทน ขยัน,""เหมาะกับงานที่ต้องใช้ความมั่นคงต่อเนื่อง เช่นราชการ วิศวกรรม"",career,7"
"8,มุ่งมั่น มีพลัง,""เหมาะกับงานอิสระ งานขาย นักธุรกิจ"",success,8"
"9,มีสติ ปัญญาดี,""มีโชคเรื่องการเรียน การต่างประเทศ และเทคโนโลยี"",wisdom,8"
"10,ไม่แน่นอน ควรใช้ความระวัง,""มีพลังแต่ควรใช้ให้ถูกทาง ไม่เหมาะกับคนใจร้อน"",neutral,5"
"11,มีอิทธิพล เป็นผู้นำ,""คนรอบข้างนับถือ คำพูดมีพลัง"",leadership,9"
"22,ละเอียดรอบคอบ,""เหมาะกับงานวิเคราะห์ บัญชี การเงิน การสื่อสาร"",logic,8"
"23,พลังงานบวก อารมณ์ดี,""เหมาะกับคนค้าขาย เจรจา ธุรกิจขนาดเล็ก"",energy,8"
"24,มีเสน่ห์ เงินหมุนดี,""เหมาะกับงานที่ต้องพบผู้คน เช่นขายตรง หรือบริการ"",love,9"
"25,หัวไว ฉลาด,""มีความรู้ความสามารถ ทำงานได้หลายด้าน"",intellect,9"
"26,วางแผนดี มีโชค,""เหมาะกับงานบริหาร การเงิน การตลาด"",career,8"
"27,มีอุปสรรค เหนื่อยง่าย,""เหมาะกับคนใจแข็ง ต้องต่อสู้เพื่อสำเร็จ"",fighter,5"
