pair,meaning,domain,is_good
00,คู่หลีกเลี่ยง,danger,0
01,คู่หลีกเลี่ยง,danger,0
02,คู่หลีกเลี่ยง,danger,0
03,คู่หลีกเลี่ยง,danger,0
04,คู่หลีกเลี่ยง,danger,0
05,คู่หลีกเลี่ยง,danger,0
06,คู่หลีกเลี่ยง,danger,0
07,คู่หลีกเลี่ยง,danger,0
08,คู่หลีกเลี่ยง,danger,0
09,คู่หลีกเลี่ยง,danger,0
10,คู่หลีกเลี่ยง,danger,0
11,คู่หลีกเลี่ยง,danger,0
12,คู่หลีกเลี่ยง,danger,0
13,คู่หลีกเลี่ยง,danger,0
14,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
15,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
16,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
17,คู่หลีกเลี่ยง,danger,0
18,คู่หลีกเลี่ยง,danger,0
19,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
20,คู่หลีกเลี่ยง,danger,0
21,คู่หลีกเลี่ยง,danger,0
22,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
23,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
24,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
25,คู่หลีกเลี่ยง,danger,0
26,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
27,คู่หลีกเลี่ยง,danger,0
28,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
29,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
30,คู่หลีกเลี่ยง,danger,0
31,คู่หลีกเลี่ยง,danger,0
32,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
33,คู่หลีกเลี่ยง,danger,0
34,คู่หลีกเลี่ยง,danger,0
35,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
36,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
37,คู่หลีกเลี่ยง,danger,0
38,คู่หลีกเลี่ยง,danger,0
39,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
40,คู่หลีกเลี่ยง,danger,0
41,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
42,คู่พิเศษ ใช้ได้เฉพาะบางกรณี,neutral,3
43,คู่หลีกเลี่ยง,danger,0
44,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
45,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
46,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
47,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
48,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
49,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
50,คู่หลีกเลี่ยง,danger,0
51,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
52,คู่หลีกเลี่ยง,danger,0
53,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
54,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
55,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
56,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
57,คู่หลีกเลี่ยง,danger,0
58,คู่หลีกเลี่ยง,danger,0
59,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
60,คู่หลีกเลี่ยง,danger,0
61,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
62,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
63,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
64,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
65,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
66,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
67,คู่หลีกเลี่ยง,danger,0
68,คู่หลีกเลี่ยง,danger,0
69,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
70,คู่หลีกเลี่ยง,danger,0
71,คู่หลีกเลี่ยง,danger,0
72,คู่หลีกเลี่ยง,danger,0
73,คู่หลีกเลี่ยง,danger,0
74,คู่เหมาะกับนักสู้ แข่งขัน ใช้กำลัง,fighter,2
75,คู่หลีกเลี่ยง,danger,0
76,คู่หลีกเลี่ยง,danger,0
77,คู่หลีกเลี่ยง,danger,0
78,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
79,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
80,คู่หลีกเลี่ยง,danger,0
81,คู่หลีกเลี่ยง,danger,0
82,คู่หลีกเลี่ยง,danger,0
83,คู่หลีกเลี่ยง,danger,0
84,คู่หลีกเลี่ยง,danger,0
85,คู่หลีกเลี่ยง,danger,0
86,คู่หลีกเลี่ยง,danger,0
87,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
88,คู่หลีกเลี่ยง,danger,0
89,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
90,คู่หลีกเลี่ยง,danger,0
91,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
92,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
93,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
94,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
95,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
96,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
97,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
98,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
99,คู่ดี ปลอดภัยต่อการใช้งาน,good,1
